batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,screener_current_job,screener_programming_experience_obj,screener_language_proficiency_obj,screener_programming_experience_sub,screener_language_proficiency_sub,perceived_difficulty,post_test_time_complexity,post_test_space_complexity,post_test_comprehend,post_test_code_quality,post_test_comment,attitudes_fear,attitudes_acceptance,domain_knowledge_sub,domain_knowledge_obj,codeExecutionSummary,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim
1,formal_easy_ransom_notes_with,60cf3ea49731e4fed5ce742e,easy_ransom_notes,0.1,1,0.1,1,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",1,1,4,2,3,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,5.666666666666667,6.5,1,1,1,0.9444444444444444,0.9444444444444444,1,1
1,formal_easy_ransom_notes_with,657b106d15f391f12c30ee8d,easy_ransom_notes,0,1,0,0,Student specializing in IT-related fields.,1,1,2,2,3,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,2.6666666666666665,6.5,1,2,1,0.9444444444444444,0.9444444444444444,1,1
1,formal_easy_ransom_notes_with,659ecd99cbaea58e46b35186,easy_ransom_notes,1,1,0.1,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",9,5,4,3,3,AI-code is better,My code is better,Somewhat understand,Somewhat good,Neither good nor bad,4,7.5,3,3,1,1,1,1,1
three,formal_easy_ransom_notes_with,60f9b7d785b3e37efe2c21d3,easy_ransom_notes,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,3,4,My code is better,My code is better,Fully understand,Somewhat good,Somewhat good,1.3333333333333333,7,3,3,1,0.6666666666666666,0.3333333333333333,0,0
three,formal_easy_ransom_notes_with,614b7c6143772286a208caea,easy_ransom_notes,0,0.1,0,0,Others.,3,1,2,3,4,AI-code is better,AI-code is better,Somewhat understand,Very good,Very good,3.3333333333333335,8.5,3,1,0,0.3333333333333333,0.3333333333333333,0,0
three,formal_easy_ransom_notes_with,63f8705ae362b217290d08c2,easy_ransom_notes,0,1,0,0,Others.,2,0,2,2,4,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Somewhat good,2.3333333333333335,7.5,2,2,1,1,1,1,1
three,formal_easy_ransom_notes_with,653fc00d3035a31db0314c28,easy_ransom_notes,1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,5,4,4,4,AI-code is better,AI-code is better,Fully understand,Somewhat good,Very good,1.3333333333333333,5.5,2,2,1,0.8888888888888888,0.8888888888888888,1,1
three,formal_easy_ransom_notes_with,65583ffa38bfc41805a553cd,easy_ransom_notes,0.1,0.1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,5,3,AI-code is better,AI-code is better,Somewhat understand,Neither good nor bad,Neither good nor bad,2.6666666666666665,6,2,3,0,0.2857142857142857,0.2222222222222222,0,0
three,formal_easy_ransom_notes_with,65d935f75fde30418cc7dad4,easy_ransom_notes,0.1,1,0,0,Student specializing in IT-related fields.,1,1,2,4,4,AI-code is better,AI-code is better,Fully understand,Somewhat good,Somewhat good,6,7,2,1,1,1,1,1,1
2,formal_easy_ransom_notes_with,5e91128ddf10df4440f6243f,easy_ransom_notes,0,1,0.1,0,Others.,4,3,3,3,4,AI-code is better,AI-code is better,Somewhat understand,Somewhat good,Very good,2,7,1,2,1,1,1,1,1
2,formal_easy_ransom_notes_with,60ce3a64dc89ad902dcd3e02,easy_ransom_notes,0.1,1,0,0,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,2,3,4,3,AI-code is better,AI-code is better,Fully understand,Very good,Very good,3.3333333333333335,7.5,3,3,1,1,1,1,1
2,formal_easy_ransom_notes_with,60db8f99cfcb1b050dbc66b5,easy_ransom_notes,1,1,0.1,1,Student specializing in IT-related fields.,3,0,3,2,3,AI-code is better,AI-code is better,Somewhat understand,Very good,Very good,2.3333333333333335,8.5,1,2,1,1,1,1,1
